listing_id,amenity_id,amenity_type
260613,92,Bedroom comforts
260613,29,Washer
260613,11,Hair dryer
260613,30,Free street parking
260613,21,Kitchen
260613,32,Heating
260613,91,Bathroom essentials
260613,14,Dishwasher
260613,34,Smoke alarm
260613,40,TV
260613,23,Dryer
260613,16,Iron
260613,8,Backyard
277416,2,Free parking on premises
277416,3,Coffee maker
277416,4,Essentials
277416,5,Pack \u2019n Play/travel crib
277416,6,Shampoo
277416,7,Dedicated workspace
277416,47,TV with standard cable
277416,9,Wifi
277416,11,Hair dryer
277416,98,Elevator
277416,16,Iron
277416,17,Refrigerator
277416,95,Hot tub
277416,18,Long term stays allowed
277416,19,Carbon monoxide alarm
277416,49,Cable TV
277416,41,Air conditioning
277416,20,Microwave
277416,21,Kitchen
277416,99,Pool
277416,22,Hangers
277416,23,Dryer
277416,25,High chair
277416,29,Washer
277416,31,Dishes and silverware
277416,32,Heating
277416,100,Gym
277416,33,Hot water
277416,34,Smoke alarm
277416,36,Host greets you
278830,3,Coffee maker
278830,4,Essentials
278830,38,Extra pillows and blankets
278830,103,Ceiling fan
278830,6,Shampoo
278830,45,Baking sheet
278830,7,Dedicated workspace
278830,53,Conditioner
278830,47,TV with standard cable
278830,8,Backyard
278830,9,Wifi
278830,104,Clothing storage: closet and wardrobe
278830,39,Bed linens
278830,10,First aid kit
278830,59,Bathtub
278830,11,Hair dryer
278830,12,Cooking basics
278830,14,Dishwasher
278830,55,Portable fans
278830,66,Outdoor furniture
278830,16,Iron
278830,61,Lockbox
278830,70,Wine glasses
278830,17,Refrigerator
278830,48,BBQ grill
278830,18,Long term stays allowed
278830,19,Carbon monoxide alarm
278830,49,Cable TV
278830,20,Microwave
278830,21,Kitchen
278830,44,Security cameras on property
278830,86,Hot water kettle
278830,73,Dining table
278830,22,Hangers
278830,23,Dryer
278830,24,Stove
278830,27,Oven
278830,28,Fire extinguisher
278830,76,Cleaning products
278830,42,Private entrance
278830,29,Washer
278830,30,Free street parking
278830,31,Dishes and silverware
278830,32,Heating
278830,33,Hot water
278830,34,Smoke alarm
278830,56,Body soap
278830,35,Patio or balcony
278830,57,Freezer
282934,102,Self check-in
282934,28,Fire extinguisher
282934,9,Wifi
282934,3,Coffee maker
282934,19,Carbon monoxide alarm
282934,92,Bedroom comforts
282934,29,Washer
282934,11,Hair dryer
282934,30,Free street parking
282934,93,Full kitchen
282934,32,Heating
282934,91,Bathroom essentials
282934,16,Iron
282934,14,Dishwasher
282934,34,Smoke alarm
282934,40,TV
282934,23,Dryer
282934,37,Indoor fireplace
284087,2,Free parking on premises
284087,3,Coffee maker
284087,4,Essentials
284087,38,Extra pillows and blankets
284087,5,Pack \u2019n Play/travel crib
284087,6,Shampoo
284087,7,Dedicated workspace
284087,47,TV with standard cable
284087,9,Wifi
284087,82,Room-darkening shades
284087,39,Bed linens
284087,10,First aid kit
284087,11,Hair dryer
284087,12,Cooking basics
284087,13,Luggage dropoff allowed
284087,14,Dishwasher
284087,15,Children\u2019s books and toys
284087,98,Elevator
284087,16,Iron
284087,17,Refrigerator
284087,18,Long term stays allowed
284087,19,Carbon monoxide alarm
284087,49,Cable TV
284087,41,Air conditioning
284087,20,Microwave
284087,21,Kitchen
284087,22,Hangers
284087,23,Dryer
284087,24,Stove
284087,25,High chair
284087,27,Oven
284087,29,Washer
284087,31,Dishes and silverware
284087,32,Heating
284087,33,Hot water
